State,Scheme / Program,Type,Benefit / Coverage,Notes,Where to Apply
Andhra Pradesh,Annadatha Sukhibhava,Income Support (DBT),"₹15,000 per family annually (includes ₹6,000 from PM-KISAN) distributed via DBT to ~70 lakh farmers.citeturn0search36turn0search39",Universal family support scheme across AP.,Direct DBT via State Agriculture Dept / linked to Aadhaar & bank account
Andhra Pradesh,PM-KISAN (Central),Income Support (DBT),"₹6,000 per farmer/year to eligible landowners. Beneficiaries in AP: ~41 lakh during 18th installment.citeturn0search39",Standard central scheme.,Central PM-KISAN Portal / Local Revenue Dept / Agriculture Dept
Andhra Pradesh,Free Crop Insurance (State),Crop Insurance,Full crop insurance coverage borne by state budget—no premium charged to farmers.citeturn0search0turn0search10,Covers Kharif 2024; Rabi enrollment reintroduced.,Automatic enrollment via State Agriculture Dept (no premium)
Andhra Pradesh,Farm Mechanisation (SMAM Subsidy),Machinery Subsidy,50% frontend subsidy for small/marginal farmers on a wide range of equipment. ₹61 crore disbursed to 25K+ farmers.citeturn0news29,Accessible via Karshak Portal with transparent online process.,Karshak Portal (online application for equipment subsidy)
Andhra Pradesh,Drone Subsidy Scheme 2025,Technology Subsidy,"Up to 90% subsidy on drones (~₹10 lakh), with 875 drone centers planned. Beneficiaries include women, SHGs, FPOs.citeturn0search13",Designed for precision farming access at village level.,State Agriculture Dept / FPOs / SHGs / Women groups via Karshak Portal
Andhra Pradesh,Totapuri Mango MIP Support,Market Intervention (Bonus),"₹1,490/quintal support price jointly funded by Centre and State for Totapuri mangoes, paid directly to farmers.citeturn0news30turn0news33",Helps offset market crashes in mango pricing.,State Horticulture Dept / Procurement Centres
Andhra Pradesh,Oil Palm Promotion Scheme,Input Subsidy + Equipment,"100% free oil palm saplings; ₹5,250/ha annual support for 4 years; farm equipment also subsidized.citeturn0news32",Boosts oil palm cultivation with village-level equipment access.,Horticulture Dept / Village-level distribution centres
Andhra Pradesh,Mechanisation & Machinery Subsidy (Budget),Equipment Subsidy,"₹139 crore allocated for machinery subsidies; ₹219 crore for mechanisation; includes seed buffers, drone subsidies (₹80 crore), and free insurance (₹1,023 crore).citeturn0search17turn0search10",Reflects 2025–26 AP Budget priorities.,Agriculture Dept (disbursed via Karshak Portal & co-op banks)
Andhra Pradesh,Agricultural Machinery & Seeds,Subsidy / Input Support,"₹61 crore for organic farming, ₹240 crore for seed subsidies, ₹40 crore for fertilizer buffer management.citeturn0search10turn0search17",Supports agro inputs and natural farming.,Agriculture Dept + Co-operative Societies (seed & input distribution)
Andhra Pradesh,Micro-Irrigation Subsidy (Requested),Irrigation Infrastructure,Government requested increase from 55% to 90% subsidy; Maharashtra-style expansion for backward districts.citeturn0news28,Includes mango procurement support under MIS.,"State Horticulture / Irrigation Dept (on approval, village-level access)"
Andhra Pradesh,Free Electricity to Farmers,Input Cost Support,Farmers receive free electricity for irrigation (~7 hours/day). Originated under YSR’s “Free Power” policy.citeturn0search34,Long-term welfare commitment.,Andhra Pradesh Electricity Dept / Discoms (automatic linkage with farm connections)
Andhra Pradesh,Passbook Distribution,Digital Land Ownership Aid,"New “Pattadar Passbooks” with 17 security features to clarify land rights; distributed between August 15–31, 2025.citeturn0news21",Enhances transparency in land records.,Revenue Dept / MeeSeva Centres (Pattadar passbook issue)
Andhra Pradesh,Natural Farming Support (APCNF),Farming Method Support,₹61.78 crore allocated to promote community-managed natural farming practices.citeturn0search10,Encourages climate-resilient agriculture.,Agriculture Dept / Village-level Natural Farming collectives
Telangana,Rythu Bandhu (Investment Support),Input Support (DBT),"₹5,000 per acre per season (Kharif & Rabi), totaling ₹10,000/year per farmer, covering ~5.8 million farmers. (Wikipedia)",First direct input subsidy to farmers in India; implemented via village-level Rythu Samanvaya Samithis (Wikipedia),Direct DBT via Agriculture Dept / Village Rythu Samanvaya Samithis
Telangana,Rythu Bharosa,Income Support (DBT),"₹6,000 per acre per season (₹12,000/year) to approx. 70 lakh farmers; ₹9,000 crore disbursed recently to 41.25 lakh farmers. (Vikas Yojna, The Times of India)",Launched under the current government; payouts facilitated via expanded Rythu Vedikas,Agriculture Dept / Rythu Vedikas (DBT-based distribution)
Telangana,SMAM – Farm Mechanisation Subsidy,Machinery Subsidy,"50% subsidy on farm equipment; special benefits for women farmers (e.g., drones, tractors, rotoweeders). (Vikas Yojna, Telangana Tribune)","Strengthens access to mechanization, particularly for women farmers",Agriculture Dept / MeeSeva Portal; equipment dealers with subsidy linkage
Telangana,Price Deficiency Payment Scheme (PDPS),Price Gap Compensation,Compensation to chilli farmers when market price falls below production cost. Covers 1.72 lakh MT (~25% of production). (The Times of India),Central intervention aligned with MIS guidelines,Agriculture Marketing Dept / Procurement Centres
Telangana,Power Supply Subsidy,Irrigation Power Support,"Agricultural power connections at Rs 5,000 (Govt covers Rs 70,000); free electricity to 24×7 pump sets; ~₹11,500 crore annually on pump subsidies. (Telangana Today, The Times of India)",Aimed at improving power access and affordability for irrigation,Electricity Dept / DISCOMs (automatic for farm pump connections)
Telangana,Indira Solar Giri Jal Vikasam,Solar-Powered Irrigation,"₹12,600 crore scheme over FY2025–30; 100% subsidy for solar irrigation and allied services; benefits 2.1 lakh tribal farmers over 6 lakh acres. (The Times of India)","Tailored to Forest Rights Act beneficiaries; includes saplings, drip irrigation",Agriculture & Tribal Welfare Dept / FRA beneficiary records
Telangana,Mission Kakatiya,Irrigation Infrastructure,"Renovation of 46,531 tanks and lakes, supporting 20 lakh acres, enhancing water storage and crop yields significantly. (Wikipedia)","Boosts groundwater, fisheries, and soil quality",Irrigation Dept / Local Panchayats (tank renovation projects)
Telangana,Tenant Farmer Inclusion Drive,Inclusion & Access,Tenant farmers demand reinstatement of Land Licensed Cultivators Act (2011) to access schemes like Rythu Bharosa and crop insurance. (The Times of India),"Currently, many tenant farmers are excluded due to identity issues",Agriculture Dept / Rythu Bharosa registration (pending LCC Act reinstatement)
Telangana,Farmer ID Registration,Digital Access,Unique Farmer ID drive hampered by address mismatches (Aadhaar vs land records); essential for access to central benefits. (The Times of India),System delay risks scheme exclusion; MeeSeva centres assisting ahead of deadline,MeeSeva Centres / Agriculture Dept (Farmer ID linked to Aadhaar & land records)
Karnataka,Karnataka Raitha Samruddhi Yojana,Integrated Farming Support,"Promotes integrated agriculture—crop, horticulture, animal husbandry, dairy—through soil testing, tech access, market linkages, food parks, etc. (rawe2020.in, epaper.thehindubusinessline.com)",Overseen by Agriculture Development Authority; surfaced in 2024-25 Budget,Agriculture Development Authority / District Agri Offices
Karnataka,Bhoo Siri Scheme (KCC Holders),Input Subsidy + Loan Support,"₹10,000 subsidy to KCC farmers for seeds, fertilizers, and inputs; ₹2,500 from state + ₹7,500 from NABARD; Interest-free loan limit raised to ₹5 lakh. (Sarkari Yojana)",Affects ~50 lakh farmers; announced in 2023-24 Budget,Banks / Cooperative Societies via KCC + State Agriculture Dept
Karnataka,Agri Mechanisation & Mini Tractor Subsidy,Machinery Subsidy,"Up to 90% subsidy on mini tractors/equipment for SC/ST; 50% for general farmers. Includes irrigation tools, rotavators, sprinkler units. (Asianet Newsable)",Available at Farmer Contact Centers with required documents,Agriculture Dept / Farmer Contact Centres
Karnataka,Krishi Bhagya Scheme (Tank Revamp),Irrigation Infrastructure,Revives tank irrigation in dryland areas; includes grants (₹200 crore allocated) and installation of rainwater harvesting structures. (The New Indian Express),Reintroduced under the Raitha Samruddhi umbrella,Irrigation Dept / Agriculture Dept (Tank Development Cells)
Karnataka,Fish Seed Subsidy (Fisheries),Fisheries Input Subsidy,"50% subsidy on fish seed cost—up to ₹5,000 for individuals, ₹20,000 for institutions. (NABARD)",Supports aquaculture initiatives,Fisheries Dept / NABARD-linked cooperatives
Karnataka,PM Kisan Samman Nidhi (Central),Income Support (DBT),"₹6,000/year per farmer; Karnataka had ~43.48 lakh beneficiaries during the 18th installment (Aug–Nov 2024). (Wikipedia)",National scheme implemented state-wide,PM-KISAN Portal / State Agriculture Dept
Karnataka,PM Kisan Urja Suraksha Evam Utthan Mahabhiyan (PM-KUSUM),Solar Irrigation Subsidy,"60% subsidy on solar pumps, 30% loan, 10% farmer share. Supports solar irrigation infrastructure. (Wikipedia)",Central scheme—available to Karnataka farmers,Renewable Energy Dept / Agriculture Dept / DISCOMs
Karnataka,Rashtriya e-Market Services (ReMS),Market Platform Enhancement,State-run agri e-auction platform (Unified Market Platform) to improve market transparency and farmer price realization. (Wikipedia),Improves post-harvest price access,ReMS Online Platform (Unified Market Portal)
Karnataka,NABARD Carbon Credit Pilot,Climate Income Pilot,"Carbon credit project via agro-forestry (e.g., mango border plantation) in Koppal; potential income from biomass/carbon units, though payouts pending. (The Times of India)",Early-stage pilot—Bengaluru-based implementation,NABARD + Local Farmer Producer Organisations (pilot basis)
Maharashtra,Krushi Samruddhi Yojana,Comprehensive Agri Scheme,"₹5,000 crore allocated annually (₹25,000 crore over 5 years) for infrastructure, organic farming, micro-irrigation, technology, and farmer incomes. (The Times of India)","Launched FY 2025–26, DBT mode, with priority to small/marginal farmers, women, SC/ST, FPOs, PwDs.",MahaDBT portal & Agriculture Dept. offices
Maharashtra,MahaAgri-AI Policy 2025–29,AI & Tech Adoption,"₹500 crore to deploy AI tools—A-DeX data exchange, drone usage, robotics, chatbot advisory—benefiting 50,000+ farmers and 1 lakh acres. (Farming)",Fosters precision agriculture via digital interventions.,"Agriculture Dept. digital platforms (AI tools, A-DeX)"
Maharashtra,State Crop Insurance Scheme (Re ₹1 premium),Crop Insurance,Farmers get premium-based insurance for just ₹1; state covers the remaining cost. (MahaToday),State-supported model building on PMFBY for affordability.,"Local banks, insurance companies, CSCs, MahaDBT"
Maharashtra,Tractor & Equipment Subsidy via MahaDBT,Machinery Subsidy,"Up to ₹100,000 subsidy for tractors (35% for SC/ST/Women/Small; 25% general); other tools like power tillers, sprayers also subsidized. (Kisan Suvidha)",Apply via MahaDBT portal.,MahaDBT portal
Maharashtra,Irrigation & Well Subsidy,Irrigation Infrastructure,For SC/ST farmers: up to ₹4 lakh for new wells; ₹100k for repairs; plastic lining ₹200k; solar pumps 90% covered; drip irrigation ₹97k; plus other inputs. (Krushi Kranti),"Wide support for irrigation access, with high subsidies.",MahaDBT portal & Agriculture Dept.
Maharashtra,Onion Subsidy (2025),Commodity Support,"₹28.32 crore approved to subsidize 14,661 onion farmers amid price drops. (Maharashtra Times)",Crisis relief via direct DBT to farmer accounts.,Direct DBT via Agriculture Dept.
Maharashtra,Horticulture Area Expansion,Planting Incentive,"Fruit plantation area rose by ~68,500 ha in FY 2024-25; ₹98.91 lakh aid to 27,000+ farmers under Falbagh scheme. (The Times of India)",Encouraging exportable fruit cultivation clusters.,"State Horticulture Dept., MahaDBT"
Maharashtra,Agricultural Power Subsidy (Baliraja Scheme),Power Subsidy,"₹1,864 crore for free electricity for pump sets up to 7.5 HP, benefiting ~9.48 lakh farmers in FY 2025–26. Total agri power subsidy of ₹2,500+ crore. (The Times of India)",Major relief for irrigation energy costs.,State Power Distribution Co. (MSEDCL)
Maharashtra,Livestock & Poultry Inclusion,Allied Sector Support,"Fish ponds, poultry, and cattle operations now enjoy agri-power tariffs, tax cuts, and access to KCC and low-interest loans under Deshmukh scheme. (Eggora, Indologus)",Encourages diversification and supportive infrastructure.,"Animal Husbandry Dept., KCC loans via banks"
Maharashtra,PACS Expansion and Multipurpose Credit Outlets,Credit Access Expansion,"7,000 new PACS planned to cover remaining gram panchayats, converting dairies and fish cooperatives into multipurpose outlets. (The Times of India)",Enhances grassroots credit infrastructure access.,Through PACS / cooperative societies
Gujarat,iKhedut Portal,Digital Access Platform,"Online gateway to apply for tools, equipment, subsidies, irrigation, seed, animal husbandry schemes. (Government schemes)",Simplifies scheme access and application process.,iKhedut online portal
Gujarat,Farmer Registry (AgriStack Gujarat),Digital Farmer ID,"Single digital ID to facilitate DBT, KCC loans, crop insurance, input subsidies. (Agrisnet, Jaagruk Bharat)","Integrates Aadhaar, land records; essential for scheme delivery.",Agriculture Dept. / online registry
Gujarat,AGR 2 (Farm Mechanization Scheme),Machinery Subsidy,"Financial support for power tillers, transplanters, self-propelled tools, tractor implements, electric tools. (Government schemes)",Enhances productivity through mechanization.,iKhedut portal
Gujarat,Zero-Interest Crop Loan Scheme,Interest Subsidized Credit,Crop loans up to ₹3 lakh at effectively 0% interest (state covers 7% total). (Sarkari Yojana),Major relief for short-term credit needs.,"Co-op banks, PACS, State banks"
Gujarat,"Value Addition Scheme (""Add Value to Crops"")",Post-Harvest Processing,Support for machinery and equipment to enable post-harvest crop processing. (myScheme),Encourages value-chain enhancement and higher farmer margins.,iKhedut / Agriculture Dept.
Gujarat,Mission Bee – Beekeeping Support,Allied Income Support,"₹8.76 crore to 1,245 farmers for colonies, hives, honey extractors; training to 11,300+ farmers. (The Times of India)",Boosts diversification through beekeeping.,Horticulture Dept. & iKhedut
Gujarat,Biofuel & CBG Initiatives,Renewable Energy Income,"Investments in bioethanol from whey, and CBG plants; dairy farmers earn extra from dung-to-revenue model. (The Times of India)",Sustainable income source via circular economy.,"Dairy cooperatives, Energy Dept."
Gujarat,Jyotigram Yojana,Irrigation Power Supply,Dedicated 24-hour quality power for irrigation through separate feeders. (Wikipedia),Long-standing energy reform improving farm power reliability.,Gujarat Urja Vikas Nigam (GUVNL) / DISCOM
Gujarat,PMFBY (Crop Insurance),Crop Insurance (National),Standard central crop insurance protection. Available in Gujarat under central scheme. (Wikipedia),Provides risk protection across multiple crops.,"Banks, CSCs, insurance companies"
Gujarat,Atal Bhujal Yojana,Groundwater Management,"Community groundwater sustainability projects under national program (2020–2025), including Gujarat. (Wikipedia)",Strengthens water resources and resilience.,Local Water User Associations & Panchayats
Rajasthan,Pradhan Mantri Fasal Bima Yojana (PMFBY),Crop Insurance (central),Compensation via DBT for crop loss; ~9.7 lakh farmers in Rajasthan benefited. (The Times of India),Large adoption across the state.,"Banks, CSCs, insurance companies"
Rajasthan,PM-KUSUM (Solar Irrigation Subsidy),Solar Irrigation Subsidy,"Enabling solar pumps under PM-KUSUM; >1,000 MW solar capacity installed; ~1.7 lakh farmers solarised. (The Times of India)",Strong push for sustainable agri-power access.,Rajasthan Renewable Energy Corp. (RRECL)
Rajasthan,Disaster Relief Grant – Rabi Crop Damage,Relief Grant (state),"₹239 crore allocated for ~70,366 farmers affected by Rabi crop damage due to hail. (The Times of India)",From State Disaster Relief Fund.,District Collectorate / Revenue Dept.
Rajasthan,Krishak Sathi Yojana,Farmer Life/Accident Support,Financial assistance if farmer suffers death/disability during farm activity; announced in state budget. (Wikipedia),Major safety-net scheme in recent Rajasthan budgets.,State Agriculture / Cooperative Dept.
Rajasthan,Soil Health Card Scheme,Soil Health & Input Advisory,"Soil testing & crop-wise advisory via soil health cards, part of national rollout. (Wikipedia)",Aimed to improve yield via scientific recommendations.,Soil Testing Labs & Agriculture Dept.
Rajasthan,Solar Pump Subsidy Programs (various),Infrastructure / Credit Support,Subsidy up to ~86% of pump cost; NABARD/sponsored programs for solar pump systems. (NABARD),Enhances formal credit + subsidy access.,"NABARD, banks, RRECL"
Rajasthan,Agri Credit Expansion,Credit via KCC & PACS,"KCC & PACS access growing; formal credit push alongside informal sources. (IJNRD, ResearchGate, Wikipedia)",Emphasis on KCC & cooperative loans.,Banks & PACS societies
Rajasthan,PM-Krishi Sinchai Yojana (PMKSY),Irrigation Development (central),Broad inclusion in irrigation mission for improved water use & management. (Wikipedia),Supports field-level irrigation.,Agriculture & Irrigation Dept.
Rajasthan,Agro & Food Processing Infrastructure,Credit-linked Capital Subsidy,"Under PMFME scheme, individuals/FPOs/SHGs get 35% subsidy on project cost (max ₹10 lakh). (PMFME)",Encourages micro food process units.,District Industries Centre / PMFME portal
Rajasthan,FPO Formation & Support via AIF/Central,FPO Credit & Grants,"AIF supports formation & promotion of FPOs; allocated ~₹33 cr for 44,912 projects. (Press Information Bureau)",Aimed at more robust FPO ecosystem.,"NABARD, Agriculture Dept., online AIF portal"
Punjab,PM-KISAN (Central),Income Support (DBT),"₹6,000/year per farmer; ~9.26 lakh beneficiaries in Punjab (18th installment, Aug–Nov 2024) (Wikipedia)",Standard national support scheme,Register via pmkisan.gov.in or CSC / local agriculture office.
Punjab,Seed Subsidy & Diversification (Maize),Input Support / Incentive,"33% subsidy on cotton seeds; ₹17,500/ha incentive for maize in pilot districts (Bathinda, Sangrur) (The Times of India)",Promotes crop diversification,Apply through Punjab Agriculture Dept. portal or local Krishi Vigyan Kendras (KVKs).
Punjab,Mechanization Subsidy Scheme,Machinery Subsidy,"Up to 50% subsidy on tractors, harvesters, rotavators, seeders for small/medium farmers, FPOs, SHGs (Khabar Tazza)",Boosts mechanized farming,Application on Punjab Agriculture Department / PAU Kisan Portal.
Punjab,KCC (credit stress),Loan Access,"Outstanding KCC debt reached ₹57,536 crore by March 2025, signifying heavy reliance on formal credit (The Times of India)",Highlights growing credit dependency,Apply through banks / cooperative societies under RBI guidelines.
Punjab,Rapid wheat procurement,Market Support,"130 LMT wheat procured with ₹28,571 crore paid promptly to farmers; facilitated by ₹28,000 cr cash credit limit (The Times of India)",Strong procurement infrastructure,No separate application; procurement at mandi / procurement centers.
Punjab,Land Pooling Policy (withdrawn),Policy Adjustment,Proposed land pooling policy scrapped after farmer protests and court stay—affects scheme trust (The Times of India),Reflects influence of farmer sentiment,(Withdrawn – no application needed).
Punjab,Maize Support Portal,Market Diversification Tool,"“barsatimakki.com” enables maize farming registration, offers MSP of ₹2,240/quintal and ₹10,000/acre subsidy proposal (The Times of India)",Encourages shift from paddy,Register online at barsatimakki.com.
Haryana,PM-KISAN (Central),Income Support (DBT),"~15.99 lakh beneficiaries in Haryana (18th installment, Aug–Nov 2024) (Wikipedia)",Standard central scheme,pmkisan.gov.in / CSC / agriculture dept.
Haryana,Subsidy on Agricultural Machinery,Mechanization Subsidy,"40–50% subsidy on machinery via SMAM, RKVY, state schemes (Agri Haryana)",Encourages mechanization,Apply via agriharyanacrm.com / Agri Haryana portal.
Haryana,SC Tractor Subsidy,Machinery Subsidy,₹1 lakh subsidy per tractor (≥45 HP) for SC category farmers via MFMB portal (Agri Haryana),Promotes inclusive access,Apply through MFMB (Merit-cum-Financial Assistance for Farm Mechanisation Bank) portal.
Haryana,Solar Irrigation & Power Subsidy,Energy Infrastructure,"154K+ solar pumps installed (~822 MW); farmers pay only ₹0.10/unit while state bears ~₹6,781 cr subsidy (The Times of India)",Promotes renewable irrigation,Apply on saralharyana.gov.in under Solar Pump scheme.
Haryana,Beekeeping (Honey) Inclusion in BBY,Price Support + Allied Income,Honey added under Bhavantar Bharpai Yojana; up to 85% equipment subsidy; beekeepers to get pricing support plus a ₹20 cr control lab established (The Times of India),Diversifies farmer income via apiculture,Register with Haryana Agriculture Dept. / Horticulture Dept. (via Saral portal).
uttar pradesh,PM-KISAN (Central),Income Support (DBT),"~2.25 crore beneficiaries in UP (18th installment, Aug–Nov 2024) (Wikipedia)",Mass-scale central benefit,pmkisan.gov.in / CSC centers.
uttar pradesh,Krishi Upkaran Subsidy Scheme,Machinery Subsidy,"Up to 50% subsidy on tractors, seeders, harvesters, sprayers; via tokens and agriculture portal (Tractor News, Pragati yojana, MySandesh)",Enhances mechanization uptake,Apply on upagripardarshi.gov.in portal.
uttar pradesh,Agri Mechanization Subsidy (Up to 80%),Equipment Subsidy,"Subsidy from ₹10K to ₹20 lakh covering drones, threshers, power tillers, vermicompost units (Khetivyapar)",Significant financial relief,Also via upagripardarshi.gov.in.
uttar pradesh,Khet Talab Yojana (Farm Ponds),Irrigation Infrastructure,"37,403 farm ponds created since 2017; cost ₹1.05 lakh shared equally; booking online; applied DPMC benefits (The Times of India)",Water conservation + irrigation boost,Apply through Agriculture Dept. / DPMC online booking at upagripardarshi portal.
uttar pradesh,Kamdhenu Dairy Scheme,Allied Sector Credit + Subsidy,Interest-free loans and subsidies for mini/micro dairy units; >1000 units established (Wikipedia),Strengthens dairy sector support,Apply via UP Animal Husbandry Dept. / District Veterinary Office.
uttar pradesh,Zero Poverty Campaign (ZPUP),Inclusion + DBT Integration,"Targets poorest 10-25 families per village with DBT for PM-KISAN, PM Awas, pensions, healthcare (Wikipedia)",Holistic welfare coverage,Covered automatically under DBT (no separate application needed).
